road_id,OBJECTID,DISSOLVE_ID,class,subtype,RoadClass,LandUse,RoadLength,SpeedLimit,SpeedLimitFloor,PercentileBand,RankedPercentile,MedianSpeed,F85thPercentileSpeed,PercentOverLimit,NumberOverLimit,Pass,ExcludeFromSpeedSPI,AnalysisStatus,coord_lng1,coord_lat1,coord_lng2,coord_lat2,StreetImageLink,Shape_Length,yolo_images_found,yolo_total_vehicles,yolo_total_pedestrians,yolo_total_cars,yolo_total_trucks,yolo_total_buses,yolo_total_motorcycles,yolo_total_bicycles,yolo_max_vehicles_single_image,yolo_avg_vehicles_per_image,yolo_per_heading_json,vlm_images_sent,vlm_greenery_score,vlm_greenery_intensity,vlm_footpath_score,vlm_lighting_score,vlm_shade_score,vlm_road_condition_score,vlm_building_height_score,vlm_building_density_score,vlm_population_density_score,vlm_land_use_type,vlm_overall_walkability,vlm_lane_marking_quality,vlm_lane_count,vlm_curvature_visible,vlm_intersection_visible,vlm_lane_width_estimate,vlm_vlm_notes,yolo_processed_at,vlm_processed_at
1,1,SE/4183,secondary,road,secondary,RURAL,5.872278972,,,0-5%,0.00024937655860349125,0,0,0,0,1,1,Valid,73.5544591,16.2774648,73.53445,16.2401913,"73.5544591,16.2774648,73.53445,16.2401913",5872.278971611543,4,0,0,0,0,0,0,0,0,0.0,"{""0"": {""vehicles"": 0, ""pedestrians"": 0, ""by_class"": {}}, ""90"": {""vehicles"": 0, ""pedestrians"": 0, ""by_class"": {}}, ""180"": {""vehicles"": 0, ""pedestrians"": 0, ""by_class"": {}}, ""270"": {""vehicles"": 0, ""pedestrians"": 0, ""by_class"": {}}}",4,8,dense,0,0,6,6,0,0,0,open_land,4,0,0,0,0,unknown,"The road is surrounded by lush greenery and trees, providing shade. The road appears to be unpaved and not well-maintained, with no visible lane markings or footpaths.",2026-06-24 03:54:37,2026-06-24 03:54:41
2,2,SE/6376,secondary,road,secondary,RURAL,5.900951225,55,55,0-5%,0.0004987531172069825,18,18,0,0,1,0,Valid,73.9651122,21.0463691,73.9910297,21.0647687,"73.9651122,21.0463691,73.9910297,21.0647687",5900.9512246697,4,1,0,0,1,0,0,0,1,0.25,"{""0"": {""vehicles"": 0, ""pedestrians"": 0, ""by_class"": {}}, ""90"": {""vehicles"": 1, ""pedestrians"": 0, ""by_class"": {""truck"": 1}}, ""180"": {""vehicles"": 0, ""pedestrians"": 0, ""by_class"": {""airplane"": 1}}, ""270"": {""vehicles"": 0, ""pedestrians"": 0, ""by_class"": {""umbrella"": 1}}}",4,3,sparse,0,0,0,3,0,0,0,open_land,0,0,0,0,0,unknown,The road is in a rural area with sparse vegetation and no visible buildings or human activity.,2026-06-24 03:54:38,2026-06-24 03:54:48
3,3,SE/8617,secondary,road,secondary,RURAL,3.496819447,,,0-5%,0.0007481296758104738,23.5,27,0,0,1,1,Valid,74.9005386,19.0351416,74.8847951,19.020001,"74.9005386,19.0351416,74.8847951,19.020001",3496.8194470374256,4,1,0,1,0,0,0,0,1,0.25,"{""0"": {""vehicles"": 0, ""pedestrians"": 0, ""by_class"": {""airplane"": 1}}, ""90"": {""vehicles"": 0, ""pedestrians"": 0, ""by_class"": {""zebra"": 1}}, ""180"": {""vehicles"": 1, ""pedestrians"": 0, ""by_class"": {""car"": 1}}, ""270"": {""vehicles"": 0, ""pedestrians"": 0, ""by_class"": {}}}",4,7,dense,0,0,3,3,0,0,0,open_land,2,0,0,0,0,unknown,The road is surrounded by dense vegetation and appears to be in a rural area with no visible buildings or human activity.,2026-06-24 03:54:39,2026-06-24 03:54:54
4,4,SE/10875,secondary,road,secondary,RURAL,2.0612382940000002,55,55,0-5%,0.000997506234413965,13,18,0,0,1,0,Valid,76.593981,19.1964024,76.6112397,19.1893524,"76.593981,19.1964024,76.6112397,19.1893524",2061.2382936999898,4,0,0,0,0,0,0,0,0,0.0,"{""0"": {""vehicles"": 0, ""pedestrians"": 0, ""by_class"": {}}, ""90"": {""vehicles"": 0, ""pedestrians"": 0, ""by_class"": {""cow"": 2}}, ""180"": {""vehicles"": 0, ""pedestrians"": 0, ""by_class"": {}}, ""270"": {""vehicles"": 0, ""pedestrians"": 0, ""by_class"": {}}}",4,7,dense,0,0,5,5,0,0,0,open_land,2,0,0,1,0,unknown,The road is surrounded by dense greenery and appears to be in a rural area with no visible buildings or human activity.,2026-06-24 03:54:40,2026-06-24 03:55:01
5,5,SE/5916,secondary,road,secondary,RURAL,4.845749302,55,55,0-5%,0.0012468827930174563,13.366666666666667,13.333333333333334,0,0,1,0,Valid,76.0436565,17.370428,76.0713028,17.3902438,"76.0436565,17.370428,76.0713028,17.3902438",4845.749302298414,4,4,1,1,0,0,1,2,2,1.0,"{""0"": {""vehicles"": 1, ""pedestrians"": 1, ""by_class"": {""person"": 1, ""bicycle"": 1}}, ""90"": {""vehicles"": 0, ""pedestrians"": 0, ""by_class"": {}}, ""180"": {""vehicles"": 1, ""pedestrians"": 0, ""by_class"": {""car"": 1}}, ""270"": {""vehicles"": 2, ""pedestrians"": 0, ""by_class"": {""bicycle"": 1, ""motorcycle"": 1}}}",4,8,dense,2,0,8,5,3,5,5,residential_low,6,0,0,0,0,unknown,"The road is surrounded by dense greenery and trees, providing shade. The road surface appears to be in moderate condition, and there are no visible lane markings or traffic lanes. The area seems to be a residential low-density neighborhood with a mix of open land and some buildings.",2026-06-24 03:54:41,2026-06-24 03:55:08
6,6,SE/7171,secondary,road,secondary,RURAL,0.5708550840000001,45,45,0-5%,0.0014962593516209476,30,62.5,0.1,2,1,0,Valid,77.5032536,21.2514168,77.5055305,21.2556724,"77.5032536,21.2514168,77.5055305,21.2556724",570.8550840306253,4,3,2,1,0,1,1,0,2,0.75,"{""0"": {""vehicles"": 2, ""pedestrians"": 0, ""by_class"": {""bus"": 1, ""car"": 1}}, ""90"": {""vehicles"": 1, ""pedestrians"": 1, ""by_class"": {""person"": 1, ""motorcycle"": 1}}, ""180"": {""vehicles"": 0, ""pedestrians"": 1, ""by_class"": {""person"": 1, ""bird"": 1}}, ""270"": {""vehicles"": 0, ""pedestrians"": 0, ""by_class"": {}}}",4,1,sparse,2,0,0,3,5,9,7,mixed,6,0,0,0,0,narrow,"The street has a mix of residential and commercial buildings, with some greenery along the sides. The road appears to be in a residential area with narrow lanes and no visible lane markings.",2026-06-24 03:54:42,2026-06-24 03:55:15
7,7,SE/4924,secondary,road,secondary,RURAL,3.948716535,,,0-5%,0.001745635910224439,38,44,0.3333333333333333,3,1,1,Valid,74.5914167,17.2199067,74.564763,17.2037111,"74.5914167,17.2199067,74.564763,17.2037111",3948.716534653217,4,0,0,0,0,0,0,0,0,0.0,"{""0"": {""vehicles"": 0, ""pedestrians"": 0, ""by_class"": {}}, ""90"": {""vehicles"": 0, ""pedestrians"": 0, ""by_class"": {""cow"": 3, ""horse"": 1}}, ""180"": {""vehicles"": 0, ""pedestrians"": 0, ""by_class"": {}}, ""270"": {""vehicles"": 0, ""pedestrians"": 0, ""by_class"": {}}}",4,5,moderate,0,0,0,5,0,0,0,open_land,0,0,0,0,0,unknown,The road segment appears to be in a rural area with sparse vegetation and no visible infrastructure for pedestrians or vehicles.,2026-06-24 03:54:44,2026-06-24 03:55:22
8,8,SE/4206,secondary,road,secondary,RURAL,12.818648077,,,0-5%,0.00199501246882793,23.5,24,0,0,1,1,Valid,73.5722796,16.4782199,73.4831462,16.4415587,"73.5722796,16.4782199,73.4831462,16.4415587",12818.648077137594,4,0,2,0,0,0,0,0,0,0.0,"{""0"": {""vehicles"": 0, ""pedestrians"": 0, ""by_class"": {}}, ""90"": {""vehicles"": 0, ""pedestrians"": 0, ""by_class"": {}}, ""180"": {""vehicles"": 0, ""pedestrians"": 0, ""by_class"": {}}, ""270"": {""vehicles"": 0, ""pedestrians"": 2, ""by_class"": {""person"": 2, ""cow"": 1}}}",4,7,dense,0,0,7,6,0,0,0,open_land,3,0,2,0,0,standard,"The road is surrounded by dense greenery and has a standard width, suitable for two lanes of traffic. The road appears to be in good condition with some vegetation overhanging the sides.",2026-06-24 03:54:45,2026-06-24 03:55:29
9,9,SE/9272,secondary,road,secondary,RURAL,3.8530655010000006,55,55,0-5%,0.0022443890274314216,17.333333333333332,29.5,0,0,1,0,Valid,76.8742052,19.7121018,76.8447986,19.7287697,"76.8742052,19.7121018,76.8447986,19.7287697",3853.06550089169,4,0,0,0,0,0,0,0,0,0.0,"{""0"": {""vehicles"": 0, ""pedestrians"": 0, ""by_class"": {}}, ""90"": {""vehicles"": 0, ""pedestrians"": 0, ""by_class"": {}}, ""180"": {""vehicles"": 0, ""pedestrians"": 0, ""by_class"": {}}, ""270"": {""vehicles"": 0, ""pedestrians"": 0, ""by_class"": {}}}",4,3,sparse,0,0,0,3,0,5,5,residential_low,3,0,0,0,0,unknown,"The road appears to be in a rural area with sparse vegetation and no visible lane markings or footpaths. The buildings are low-rise and spread out, suggesting a low population density.",2026-06-24 03:54:46,2026-06-24 03:55:36
10,10,SE/5912,secondary,road,secondary,RURAL,5.0512152210000005,55,55,0-5%,0.0024937655860349127,32,35.5,0,0,1,0,Valid,75.4435521,19.4087744,75.4068624,19.380609,"75.4435521,19.4087744,75.4068624,19.380609",5051.215221188576,4,2,2,0,0,0,2,0,2,0.5,"{""0"": {""vehicles"": 2, ""pedestrians"": 2, ""by_class"": {""person"": 2, ""motorcycle"": 2}}, ""90"": {""vehicles"": 0, ""pedestrians"": 0, ""by_class"": {}}, ""180"": {""vehicles"": 0, ""pedestrians"": 0, ""by_class"": {}}, ""270"": {""vehicles"": 0, ""pedestrians"": 0, ""by_class"": {""cow"": 1}}}",4,7,dense,0,0,3,4,0,0,0,open_land,2,0,0,0,0,unknown,The road is surrounded by lush greenery and appears to be in a rural area with no visible buildings or human activity.,2026-06-24 03:54:47,2026-06-24 03:55:43
